LastPayDex,PayDex2,PayDex4
80.0,80.0,80.0
73.25,81.25,80.25
61.75,60.75,60.5
71.5,71.5,74.75
71.0,72.5,79.0
69.5,75.75,73.75
66.5,69.5,68.25
77.0,78.25,70.25
75.25,80.0,74.75
80.0,80.0,77.0
80.0,80.0,74.25
74.0,71.5,69.25
80.0,80.0,80.0
75.5,76.75,80.5
80.0,80.0,80.0
80.0,80.0,78.25
80.0,80.0,80.0
65.5,73.5,77.75
76.5,77.25,77.5
80.0,80.0,74.25
63.0,66.75,72.25
80.0,71.25,69.0
72.25,71.0,66.25
67.75,73.75,79.75
80.0,80.0,60.25
76.25,80.0,80.0
66.25,66.75,54.25
74.5,78.25,64.0
56.25,67.5,71.0
80.0,66.75,61.0
62.25,67.5,78.5
82.0,83.25,84.0
65.25,78.25,75.5
75.25,72.5,76.5
76.75,80.0,80.0
64.5,64.75,64.75
80.0,78.0,59.0
80.0,76.75,71.75
62.0,74.0,74.0
73.5,75.75,70.75
79.25,80.0,67.25
72.0,75.75,76.75
68.0,57.75,80.0
79.75,79.75,79.25
65.5,80.0,77.0
80.0,80.0,80.0
67.0,69.0,51.0
75.0,58.25,68.25
79.75,79.75,60.75
79.0,80.0,80.0
74.5,78.25,78.0
80.0,80.0,80.0
80.0,80.0,79.5
71.0,79.75,80.0
51.0,80.0,66.0
73.75,69.5,68.25
84.0,80.5,75.5
80.0,74.5,78.5
75.75,76.0,76.75
74.5,78.25,78.0
80.0,80.0,80.0
67.5,67.5,79.75
80.0,80.0,80.0
80.0,80.0,78.5
77.5,78.75,78.25
47.0,77.75,78.5
76.75,77.25,80.0
80.0,77.0,77.0
71.5,71.5,74.75
78.25,77.75,78.75
78.5,76.0,73.75
71.25,79.5,79.75
60.5,65.5,70.0
68.0,68.0,70.0
80.0,42.0,41.75
78.5,85.75,84.0
59.75,59.75,76.5
80.0,77.0,77.25
64.0,74.5,77.25
77.0,70.25,68.75
79.25,79.25,79.0
41.0,43.25,66.5
68.0,79.0,80.0
80.0,80.0,80.0
67.5,63.0,73.5
80.0,80.0,75.75
80.0,80.0,80.0
73.25,75.0,76.0
76.5,79.75,80.5
68.0,71.25,67.75
66.0,72.5,76.5
80.0,68.0,71.75
80.0,80.0,80.0
80.0,80.0,67.75
63.0,71.5,71.5
80.0,80.0,80.0
80.0,80.0,80.0
80.0,80.0,80.0
76.5,77.75,77.0
72.75,72.75,67.0
80.0,80.0,89.0
78.25,78.5,78.5
76.25,77.25,77.5
82.0,76.0,77.0
79.75,79.75,57.75
13.0,72.75,77.75
65.75,71.5,71.25
74.25,77.25,74.25
80.0,80.0,80.0
77.5,73.75,70.0
23.0,23.0,66.0
64.0,72.5,79.5
73.75,75.75,76.5
80.0,78.0,59.0
80.0,80.0,31.0
75.5,76.75,80.5
80.0,80.0,80.0
79.25,78.25,73.25
77.0,75.75,68.75
71.25,71.75,78.0
80.0,52.0,77.0
58.75,58.75,65.5
58.5,56.25,73.25
76.75,75.75,63.5
71.0,79.75,74.0
75.25,75.25,65.5
64.5,64.75,64.75
78.25,80.0,80.0
79.25,79.25,79.0
69.5,75.75,73.75
80.0,80.0,79.0
63.0,75.25,79.0
80.0,65.0,80.0
57.5,71.25,80.5
70.0,70.0,78.5
34.25,56.0,57.5
78.5,80.0,76.75
73.0,76.0,71.0
80.0,80.0,80.0
60.25,60.5,80.0
58.25,58.75,56.0
80.0,80.0,61.25
79.5,80.75,81.5
80.0,70.0,74.0
66.25,66.75,62.25
80.0,80.0,75.0
80.0,80.0,74.25
26.0,42.0,47.0
75.25,72.5,76.5
59.75,56.5,46.5
80.0,65.0,72.0
71.0,78.5,75.75
66.0,73.0,76.0
73.75,56.0,73.25
80.0,70.5,71.75
81.25,81.5,81.5
75.25,70.0,73.5
78.5,70.0,74.0
72.75,69.0,69.0
79.0,79.25,78.5
54.0,63.0,53.0
66.0,65.75,78.5
30.0,65.0,80.0
80.0,80.0,68.0
84.0,80.0,78.5
69.0,65.5,66.5
5.0,5.0,77.5
80.0,80.0,80.0
80.0,80.0,80.0
80.0,80.0,80.0
80.0,75.0,72.75
73.25,72.75,59.25
73.5,70.0,75.5
67.25,60.0,60.5
69.0,79.0,78.75
80.0,80.0,80.0
80.0,80.0,73.0
80.0,80.0,77.0
71.0,79.75,74.0
72.75,70.25,69.5
80.0,80.0,80.0
73.0,73.0,73.0
55.5,61.5,65.75
52.75,62.75,70.0
73.75,72.25,80.25
66.75,80.25,78.25
79.75,79.75,77.0
80.0,80.0,68.5
61.0,70.5,71.75
74.0,57.0,57.5
54.75,53.75,61.0
79.25,72.0,67.0
79.0,79.25,78.5
80.0,64.75,51.75
73.25,72.75,79.75
72.0,68.25,78.0
71.0,77.5,77.5
53.5,57.5,61.0
